id,Nom,Référence,prix TTC,TVA,catalogId,vendorId,unit,Quantité,actif,image
658543,ail,ails,1.5,5.5,32264,15238,Gram,100,false,https://app.cagette.net/file/147809_2f56ea0a0f20ff3b6a1e20684b068446
537081,ail frais - botte,XJS-1,1.5,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95106_c32dbb4053974773ee0d4d3c6595a173
1492298,ail frais - Bt/resto,Ail-2,1.5,0,32264,15238,Piece,1,true,https://app.cagette.net/file/95106_c32dbb4053974773ee0d4d3c6595a173
712718,Aubergine,Aub-1,4.5,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/164286_3e2915216287b22b4e36d606a6c2e6d6
715575,Échalotes,Ech-1,1.9,5.5,32264,15238,Gram,200,false,https://app.cagette.net/file/193664_8b552c5feedcc6781de280f77e2671ad
537082,épinards,LBU-4,4.75,5.5,32264,15238,Gram,750,false,https://app.cagette.net/file/95131_f1242bfc86e58c6688ca88acd974efa3
537084,épinards,LBU-3,1.75,5.5,32264,15238,Gram,250,false,https://app.cagette.net/file/95131_f1242bfc86e58c6688ca88acd974efa3
537085,épinards,LBU-2,7,5.5,32264,15238,Gram,1000,false,https://app.cagette.net/file/95131_f1242bfc86e58c6688ca88acd974efa3
537083,épinards - sacs,LBU-1,3.5,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/95131_f1242bfc86e58c6688ca88acd974efa3
658544,basilic,bas-1,1.1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/147811_3eac3df30c1a9866ca84339058ad054a
712719,Basilic rouge,Basr-1,1.1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/164285_17d7138919f0a0a60fa11a92dd2ceb32
712720,Basilic Thaï,Bast-1,1.1,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/164284_5a8df702923898c4be36dd6aae8b3bec
597422,Batavia brune - Pièce,Batb-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/147806_af5a31293652e8d1e03dfd249804799e
946209,Batavia verte,KSV-1,1.1,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/247082_664b006860d49ef9040b8825737dd32d
648371,betteraves botte,JLU-1,2.5,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/145098_f5f618d9600a22e1b8359b8238d9f7cb
537086,betteraves revente Rahon,BET,2.7,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/95132_641b25922add3c01cbd1589c62fc4069
668872,blette à tondre,RXW-1,1.15,5.5,32264,15238,Gram,250,false,https://app.cagette.net/file/150983_739d086d4e44b0e199d6ed5377628be8
668873,blette à tondre,RXW-3,5.5,5.5,32264,15238,Gram,1000,false,https://app.cagette.net/file/150983_739d086d4e44b0e199d6ed5377628be8
668874,blette à tondre,RXW-2,2.25,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/150983_739d086d4e44b0e199d6ed5377628be8
537087,blettes - botte,XPM-1,3,5.5,32264,15238,Piece,1,true,https://app.cagette.net/file/95136_5af923708c1ea144ca12bdf106b401de
537088,blettes arc-en-ciel - bottes,FRQ-1,3,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/109145_77fd524821b56b8b8f6e159fac29f123
537089,carottes,EEF-1,2.7,5.5,32264,15238,Piece,1,false,https://app.cagette.net/file/95139_85d98cd2bc21cace29e53a5460bb65f1
793533,Carottes,Ck-1,2.7,5.5,32264,15238,Kilogram,1,false,https://app.cagette.net/file/193665_a0bb19cb1f127009f6aba117a878380d
537090,céléri rave,BFC-1,1.75,5.5,32264,15238,Gram,500,false,https://app.cagette.net/file/95146_82446fe3b6383f40b31c91698a42634a
