id;Nom;Référence;prix TTC;TVA;catalogId;vendorId;unit;Quantité;actif;image
"593392";"Farine - Farine de Sarrasin";"UKV-1";"4.5";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100317_a8d4d5e372512810051c3f02fb501591"
"1008932";"Fondue Bressane - Sous vide 800g";"IEZ-1";"15";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/img/taxo/grey/crem.png"
"593393";"Fromage - Courlis affiné (de vache) - environ 1kg";"ZFC-1";"15";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/121917_ae20ff70b39fb4a8c6ed10464dfbfcf9"
"593394";"Fromage - Courlis affiné (de vache) - environ 600g";"ZFC-2";"10";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/121923_e498cff33274ee60ecd446b36b168ab1"
"593396";"Fromage - Courlis doux (de vache) - environ 1kg";"KNK-1";"15";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/121920_30380926cfbbfe8a8b065ae179d15aaf"
"593395";"Fromage - Courlis doux (de vache) - environ 600g";"KNK-2";"10";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100323_87528e259bf1f109059ff5923a9b9618"
"593397";"Fromage - Tomette de vache affiné - Entière (environ 500g)";"KKV-2";"10";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100296_84f5c96780fb161f1ce46d3f22a3986b"
"593398";"Fromage - Tomette de vache affiné - moitié (environ 250g)";"KKV-1";"5";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100295_b6885198a2db4bf317b2f5266f748440"
"593399";"Fromage - Tomette de vache fraîche - Entière (environ 600g)";"ECP-2";"10";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100294_1722fda190e57252a7234000b2c3c6d3"
"593400";"Fromage - Tomette de vache fraîche - moitié (environ 300g)";"ECP-1";"5";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100293_8b667e998de81488177e3992fbc4442f"
"1234359";"Jus de pomme - 1 litre";"OLG-1";"3.2";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100301_0cc0e788b3b4a1d5df65d7ba4a1e79a9"
"664716";"Miel Acacia - 1 kg";"LRA-1";"15";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/img/taxo/grey/epic.png"
"664715";"Miel Acacia - 500g";"LRA-2";"8";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/img/taxo/grey/epic.png"
"646125";"Miel de printemps - 1 kg";"KWN-2";"15";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/144536_731719cfb6c102a165cb30a2f84036a7"
"646126";"Miel de printemps - 500g";"KWN-1";"8";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/144534_6226ef51a30dcc82187d4d6beae4926e"
"593401";"Miel Forêt - en pot de 1 kg";"CCP-1";"15";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/file/100302_5805c5de307ebb354907da50c29b9fc9"
"593402";"Miel Forêt - en pot de 500g";"CCP-2";"8";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/file/100303_bbb5b40e1470ccf7a4651f055108438c"
"1223003";"Miel Sapin - 1 kg";"PVM-2";"17";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/img/taxo/grey/epic.png"
"1223002";"Miel Sapin - 500g";"PVM-1";"9";"0";"35700";"16171";"Piece";"1";"false";"https://app.cagette.net/img/taxo/grey/epic.png"
"1340946";"Steak haché - Sous vide";"GUR-2";"150";"5.5";"35700";"16171";"Kilogram";"10";"false";"https://app.cagette.net/file/249977_a198b65a98f6198e78d4b5bbb327788e"
"1340947";"Steak haché - Sous vide";"GUR-1";"75";"5.5";"35700";"16171";"Kilogram";"5";"false";"https://app.cagette.net/file/249975_8b915a637f2bf938629d4ac8d3aba41a"
"593403";"Tisane de Visargent - Tisane délicieuse 50g";"CKT-3";"4";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/131622_f66da71921e75ebdc7b0f7223eee8020"
"593405";"Tisane de Visargent - Tisane de la chance 50g";"CKT-2";"4";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/131618_8536991e02ffe240f96e45eb931146a4"
"593404";"Tisane de Visargent - Tisane Joie du cœur 50g";"CKT-5";"4";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/131625_829bc2d9f73d814db44edc48fc9218de"
"593406";"Tisane de Visargent - Tisane Sympathique 50g";"CKT-4";"4";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/131623_b67de7ff58c5b5029d784f9af496e2f9"
"593407";"Tisane de Visargent - Verveine 43g";"CKT-1";"4";"0";"35700";"16171";"Piece";"1";"true";"https://app.cagette.net/file/100305_3a111ce61c594df15966caea0bbfd3c6"
